Time,Stage,PC,Insn,rs1_addr,rs1_data,rs2_addr,rs2_data,rd_addr,fwd_rs1,fwd_rs2,x23_RF,x24_RF
125000,ID,0x00000000,0x20000f93,0,0x00000000,0,0x00000000,31,0,0,0x00000000,0x00000000
135000,ID,0x00000004,0x305f9073,31,0x00000000,5,0x00000000,0,1,0,0x00000000,0x00000000
135000,EX,0x00000000,0x20000f93,0,0x00000000,0,0x00000000,0x00000200,,,0x00000000,0x00000000
145000,ID,0x00000008,0x00a00593,0,0x00000000,10,0x00000000,11,0,0,0x00000000,0x00000000
145000,EX,0x00000004,0x305f9073,31,0x00000200,5,0x00000000,0x00000200,,,0x00000000,0x00000000
155000,ID,0x0000000c,0xffb00613,0,0x00000000,27,0x00000000,12,0,0,0x00000000,0x00000000
155000,EX,0x00000008,0x00a00593,0,0x00000000,10,0x00000000,0x0000000a,,,0x00000000,0x00000000
155000,WB,,,,,,31,0x00000200,,,0x00000000,0x00000000
165000,ID,0x00000010,0x0f000693,0,0x00000000,16,0x00000000,13,0,0,0x00000000,0x00000000
165000,EX,0x0000000c,0xffb00613,0,0x00000000,27,0x00000000,0xfffffffb,,,0x00000000,0x00000000
175000,ID,0x00000014,0x0145a093,11,0x0000000a,20,0x00000000,1,3,0,0x00000000,0x00000000
175000,EX,0x00000010,0x0f000693,0,0x00000000,16,0x00000000,0x000000f0,,,0x00000000,0x00000000
175000,WB,,,,,,11,0x0000000a,,,0x00000000,0x00000000
185000,ID,0x00000018,0xffb5a113,11,0x0000000a,27,0x00000000,2,0,0,0x00000000,0x00000000
185000,EX,0x00000014,0x0145a093,11,0x0000000a,20,0x00000000,0x00000001,,,0x00000000,0x00000000
185000,WB,,,,,,12,0xfffffffb,,,0x00000000,0x00000000
195000,ID,0x0000001c,0x00062193,12,0xfffffffb,0,0x00000000,3,0,0,0x00000000,0x00000000
195000,EX,0x00000018,0xffb5a113,11,0x0000000a,27,0x00000000,0x00000000,,,0x00000000,0x00000000
195000,WB,,,,,,13,0x000000f0,,,0x00000000,0x00000000
205000,ID,0x00000020,0x0145b213,11,0x0000000a,20,0x00000000,4,0,0,0x00000000,0x00000000
205000,EX,0x0000001c,0x00062193,12,0xfffffffb,0,0x00000000,0x00000001,,,0x00000000,0x00000000
205000,WB,,,,,,1,0x00000001,,,0x00000000,0x00000000
215000,ID,0x00000024,0xfff5b293,11,0x0000000a,31,0x00000200,5,0,0,0x00000000,0x00000000
215000,EX,0x00000020,0x0145b213,11,0x0000000a,20,0x00000000,0x00000001,,,0x00000000,0x00000000
215000,WB,,,,,,2,0x00000000,,,0x00000000,0x00000000
225000,ID,0x00000028,0x0ff6c313,13,0x000000f0,31,0x00000200,6,0,0,0x00000000,0x00000000
225000,EX,0x00000024,0xfff5b293,11,0x0000000a,31,0x00000200,0x00000001,,,0x00000000,0x00000000
225000,WB,,,,,,3,0x00000001,,,0x00000000,0x00000000
235000,ID,0x0000002c,0xfff6c393,13,0x000000f0,31,0x00000200,7,0,0,0x00000000,0x00000000
235000,EX,0x00000028,0x0ff6c313,13,0x000000f0,31,0x00000200,0x0000000f,,,0x00000000,0x00000000
235000,WB,,,,,,4,0x00000001,,,0x00000000,0x00000000
245000,ID,0x00000030,0x00f6e413,13,0x000000f0,15,0x00000000,8,0,0,0x00000000,0x00000000
245000,EX,0x0000002c,0xfff6c393,13,0x000000f0,31,0x00000200,0xffffff0f,,,0x00000000,0x00000000
245000,WB,,,,,,5,0x00000001,,,0x00000000,0x00000000
255000,ID,0x00000034,0x0f06f493,13,0x000000f0,16,0x00000000,9,0,0,0x00000000,0x00000000
255000,EX,0x00000030,0x00f6e413,13,0x000000f0,15,0x00000000,0x000000ff,,,0x00000000,0x00000000
255000,WB,,,,,,6,0x0000000f,,,0x00000000,0x00000000
265000,ID,0x00000038,0x00f6f513,13,0x000000f0,15,0x00000000,10,0,0,0x00000000,0x00000000
265000,EX,0x00000034,0x0f06f493,13,0x000000f0,16,0x00000000,0x000000f0,,,0x00000000,0x00000000
265000,WB,,,,,,7,0xffffff0f,,,0x00000000,0x00000000
275000,ID,0x0000003c,0x00100073,0,0x00000000,1,0x00000001,0,0,0,0x00000000,0x00000000
275000,EX,0x00000038,0x00f6f513,13,0x000000f0,15,0x00000000,0x00000000,,,0x00000000,0x00000000
275000,WB,,,,,,8,0x000000ff,,,0x00000000,0x00000000
285000,EX,0x0000003c,0x00100073,0,0x00000000,1,0x00000001,0x00000001,,,0x00000000,0x00000000
285000,WB,,,,,,9,0x000000f0,,,0x00000000,0x00000000
295000,WB,,,,,,10,0x00000000,,,0x00000000,0x00000000
